Acceleration,Steering angle
-0.34683,-0.033867
0.071808,-0.016575
-0.71818,-0.044535
0.48209,-0.038572
0.18582,-0.0011791
-0.47079,0.061053
1.4714,0.03152
-1.7297,-0.0031118
-1.4391,-0.041644
-0.78773,0.0055374
-0.66109,0.007986
-0.50381,0.012906
-0.57387,0.012528
-0.503,-0.041397
0.81549,0.0072006
0.97355,0.023792
0.55154,-0.033075
-0.26207,0.015338
0.051441,0.027676
0.22852,-0.0027788
0.30964,-0.00093215
0.20457,0.0060208
0.30373,0.0063036
0.2952,0.005255
0.24492,0.0063839
0.31427,0.0060857
0.36455,0.0045808
0.4724,0.014956
0.087922,-0.032983
0.23524,0.0013021
0.24057,0.00013261
0.40462,0.012995
0.15227,-0.007409
0.16714,-0.002072
0.086854,-0.050261
0.13306,-0.0069798
0.1331,-0.0096764
0.32303,0.012056
0.11853,-0.020434
0.1281,-0.0062346
0.28028,-0.00077794
0.2564,-0.0035929
0.15094,-0.0091618
0.14987,-0.008532
0.15591,-0.0019871
0.15712,-0.0082493
0.07425,-0.0026705
0.074124,-0.0027714
0.071693,-0.0050674
0.14711,-0.0020736
0.15065,-0.0092717
0.071315,-0.0026509
0.0713,-0.0027452
0.068027,-0.0060471
0.24424,0.0036009
0.079576,-0.032099
0.081623,-0.0044554
0.067485,-0.0026203
0.067972,-0.0026823
0.12549,-0.0062187
0.066048,-0.0026247
0.066138,-0.0028289
0.12376,-0.0077584
0.13486,-0.0016824
0.13517,-0.0093409
0.062876,-0.0026225
0.062934,-0.0026815
0.061094,-0.0070223
0.12609,-0.00074353
0.057689,-0.0066354
0.10097,-0.0076692
0.11369,-0.0026253
0.17045,0.0041159
-0.027271,0.0027618
-0.016533,-0.012421
-0.074151,-0.028329
-0.59991,0.0033498
-0.77868,-0.17197
-0.91405,-0.074104
1.5259,-0.033558
-0.7686,-0.033124
2.9918,-0.071287
2.4249,0.074237
1.1826,-0.051295
-2.6582,0.038777
1.0293,0.048593
-2.0994,0.00022046
-0.69228,0.021728
-0.30637,-0.010582
-1.3062,-0.0026929
-1.5441,0.055486
-0.7863,0.035265
0.75985,0.058138
0.079844,-0.023128
-0.905,0.047289
-0.23853,0.01613
0.051019,0.0016081
0.03139,-0.011129
-0.0021666,0.011331
0.11841,0.0026127
0.11853,0.0073478
0.25652,0.013481
0.073253,-0.016808
0.17375,-0.0049717
0.19225,0.012528
-0.06851,-0.011326
-0.13158,-0.0021605
-1.0285,0.024026
-2.8034,-0.013076
-2.9942,-0.067296
-2.9928,0.076027
-2.9921,0.044224
-0.20093,0.17141
-2.983,0.021607
-2.9633,-0.075654
-2.9953,0.26847
-2.9981,-0.069018
-2.9986,-0.0143
-2.9791,-0.23518
-2.9948,-0.16559
-2.9977,-0.11157
-2.934,-0.085525
-1.2295,-0.0094627
-0.51822,-0.0027253
0.22009,-0.039294
0.90713,-0.048746
0.83258,-0.039209
0.36927,-0.010703
0.47015,0.0045387
1.8396,-0.011988
1.5267,-0.042279
0.17868,-0.04074
0.653,-0.011746
0.74792,-0.018423
0.64385,-0.0098102
0.85499,0.00097788
0.19717,-0.020756
0.89574,-0.00080918
0.1952,-0.026666
0.87367,0.00043395
0.19257,-0.029681
0.85771,0.0030568
0.1892,-0.032387
0.86875,0.0024631
0.18697,-0.032202
0.86384,0.0026379
0.18487,-0.032034
0.85335,0.0029506
0.18324,-0.03114
0.8311,0.0038553
0.18119,-0.031169
0.81264,0.0044452
0.17896,-0.031484
0.79533,0.0050382
0.1763,-0.032268
0.79034,0.0051024
0.17425,-0.032108
0.77022,0.0055177
0.17177,-0.032468
0.7668,0.0058371
0.17022,-0.031932
0.72987,0.0066209
0.29078,-0.020534
0.17277,-0.020484
0.34663,-0.0053583
1.0309,-0.0011601
0.16944,-0.022432
0.66035,0.013121
0.16016,-0.034085
0.64972,0.013096
0.1579,-0.03413
0.62714,0.013518
0.39537,-0.010816
0.16212,-0.023373
0.56997,0.015347
0.24216,-0.0094014
0.27822,-0.00094033
0.1651,-0.041599
0.19975,-0.020023
0.16157,-0.015998
0.55299,0.0089172
0.15953,-0.017238
0.3,-0.0067914
0.95604,0.0056645
0.11446,-0.02933
0.3854,0.0052637
0.81496,0.0091086
0.141,-0.013017
-0.085755,-0.0028657
-1.3489,-0.016514
-2.8641,-0.094699
-2.9949,-0.22965
-1.6225,-0.13877
-2.9963,-0.43501
-2.5807,-0.047633
-2.9913,-0.059606
-2.986,-0.169
-2.9932,-0.1175
-2.9582,-0.074366
-2.9782,-0.0061235
-2.994,0.26524
-2.9957,0.086177
-2.9884,-0.15494
-2.9978,-0.22742
-2.9969,-0.11973
-2.6258,0.0048531
-2.3632,0.010622
-2.9694,0.15393
-2.7098,0.063107
-2.2218,0.063664
-1.0105,0.0097478
1.5809,-0.0319
1.7466,-0.031968
1.7986,-0.015057
0.63157,-0.016007
0.24647,-0.042564
1.2304,-0.014834
1.1753,-0.023775
1.0631,-0.0052627
1.2444,-0.035385
1.1266,-0.017986
1.228,-0.028886
1.1246,-0.019005
1.1121,-0.011662
1.1155,-0.011609
1.1581,-0.018818
1.1997,-0.017297
1.0847,-0.0047564
0.22872,-0.03099
1.1167,-0.015959
1.0803,-0.010172
1.0761,-0.0098089
1.0724,-0.0096488
1.0784,-0.012048
